name,ra,dec,e_pos_raw,field,cat,F,e_pos_1sig,e_pos_95,tract,patch,DP1_flag,obj_flag,dia_flag,objectId
2CXO J002407.8-720524,6.03275,-72.09014444444443,0.34,47Tuc,CSC2.1,5.806e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002408.6-720449,6.0361666666666665,-72.08044166666666,0.34,47Tuc,CSC2.1,4.017e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002410.2-720401,6.042666666666666,-72.06710277777778,0.34,47Tuc,CSC2.1,3.401e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002415.7-720307,6.0655833333333335,-72.05200833333333,0.34,47Tuc,CSC2.1,1.052e-15,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002400.4-720546,6.001833333333334,-72.09627222222221,0.34,47Tuc,CSC2.1,6.034e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002422.5-720423,6.094,-72.07328333333334,0.34,47Tuc,CSC2.1,4.075e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002418.8-720602,6.078375,-72.10078888888889,0.34,47Tuc,CSC2.1,3.419e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002404.5-720432,6.019000000000001,-72.07567777777777,0.34,47Tuc,CSC2.1,3.004e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002313.1-720131,5.804583333333333,-72.0255,0.34,47Tuc,CSC2.1,1.959e-14,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002401.6-720257,6.007000000000001,-72.04939444444445,0.34,47Tuc,CSC2.1,1.804e-15,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002403.6-720441,6.015000000000001,-72.07818333333333,0.34,47Tuc,CSC2.1,5.704e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002354.5-720530,5.977083333333333,-72.09191388888888,0.34,47Tuc,CSC2.1,6.038e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002402.1-720450,6.008875,-72.08069166666667,0.34,47Tuc,CSC2.1,5.283e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002406.3-720417,6.026416666666667,-72.07138611111111,0.34,47Tuc,CSC2.1,4.02e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002406.1-720542,6.025833333333334,-72.09524166666667,0.34,47Tuc,CSC2.1,4.794e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002406.4-720451,6.026750000000001,-72.08098888888888,0.34,47Tuc,CSC2.1,6.964e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002407.7-720431,6.032375,-72.0753611111111,0.34,47Tuc,CSC2.1,2.288e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002407.3-720519,6.030458333333334,-72.08876111111111,0.34,47Tuc,CSC2.1,5.284e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002407.2-720454,6.030208333333333,-72.08180833333333,0.34,47Tuc,CSC2.1,3.97e-16,0.173469387755102,0.34,453,52,True,False,False,
2CXO J002352.2-720723,5.96775,-72.12325555555555,0.35,47Tuc,CSC2.1,3.163e-15,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002413.5-720447,6.0565,-72.07980833333333,0.35,47Tuc,CSC2.1,2.174e-16,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002415.4-720646,6.064291666666667,-72.11299722222222,0.35,47Tuc,CSC2.1,9e-16,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002358.3-720538,5.992958333333332,-72.09407222222222,0.35,47Tuc,CSC2.1,3.768e-16,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002438.8-720046,6.16175,-72.01300277777777,0.35,47Tuc,CSC2.1,2.215e-14,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002401.3-720448,6.005625,-72.08008055555555,0.35,47Tuc,CSC2.1,5.711e-16,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002401.1-720530,6.004708333333333,-72.09181666666666,0.35,47Tuc,CSC2.1,2.818e-16,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002428.9-720256,6.12075,-72.04905277777777,0.35,47Tuc,CSC2.1,1.062e-15,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002425.1-720507,6.104916666666667,-72.08535277777777,0.35,47Tuc,CSC2.1,2.657e-16,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002401.7-720512,6.007166666666667,-72.08677777777777,0.35,47Tuc,CSC2.1,3.44e-16,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002431.8-720538,6.132541666666667,-72.09392777777778,0.35,47Tuc,CSC2.1,7.711e-16,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002405.3-720511,6.022333333333333,-72.08645833333333,0.35,47Tuc,CSC2.1,2.428e-16,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002406.6-720453,6.027875000000001,-72.08151111111111,0.35,47Tuc,CSC2.1,1.765e-16,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002407.2-720452,6.030041666666667,-72.08134444444444,0.35,47Tuc,CSC2.1,2.693e-16,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002411.7-720518,6.048958333333334,-72.0883361111111,0.35,47Tuc,CSC2.1,3.657e-16,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002410.0-720451,6.041708333333334,-72.08104166666666,0.35,47Tuc,CSC2.1,3.64e-16,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002409.2-720511,6.03875,-72.08641666666666,0.35,47Tuc,CSC2.1,3.151e-16,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002408.3-720434,6.034791666666667,-72.07609722222222,0.35,47Tuc,CSC2.1,7.564e-16,0.1785714285714285,0.35,453,52,True,False,False,
2CXO J002416.7-720447,6.069916666666667,-72.07973888888888,0.36,47Tuc,CSC2.1,2.048e-16,0.1836734693877551,0.36,453,52,True,False,False,
2CXO J002417.2-720302,6.071833333333334,-72.05079166666667,0.36,47Tuc,CSC2.1,5.126e-16,0.1836734693877551,0.36,453,52,True,False,False,
